Hora del día,Dispositivos,Ancho de banda (Mbps),Tipo de tráfico,Tráfico de datos (Bytes)
13,465,61,ssh,402083.536578913
14,622,31,ssh,498309.7064052924
9,1471,13,ssh,549675.5606130211
17,1338,15,ssh,652601.8197594784
9,528,47,ssh,434492.6619068823
17,890,35,video,478247.77607724234
8,846,20,ftp,486364.48001117667
15,466,99,web,249922.90694179368
8,412,26,ssh,353017.36218109773
16,637,97,ssh,489399.6565687557
13,1020,40,web,270548.7844209374
14,1177,86,web,438532.24223326676
17,964,44,ssh,596017.8684013003
14,1287,25,video,568260.8952716936
17,881,88,web,380389.7062129246
10,433,27,ftp,452446.8149207614
9,897,71,ftp,532091.7715289
16,447,36,video,394838.0366667848
15,372,44,audio,398405.3911872016
17,1062,54,video,572824.9401312438
14,819,44,ssh,531839.7152846376
16,599,37,audio,343655.7543808141
11,1216,18,ssh,594696.919647242
11,784,85,ftp,469956.15243134735
8,178,24,web,174982.32590045547
15,721,30,ssh,513385.5709911975
10,1340,61,ftp,685521.0607023876
14,1046,44,video,534694.224510787
9,457,60,ssh,431141.53446048475
9,717,92,ftp,524613.7510458059
14,606,64,web,350098.7984913244
13,1304,96,ssh,576156.947970685
10,675,86,ftp,485766.1368353375
16,1369,53,ssh,633386.7338230149
17,343,74,web,299259.8821354374
13,605,97,ssh,393219.2410717677
17,521,89,ssh,506457.31904747593
17,1443,34,ftp,729236.4188959696
13,1210,96,audio,501135.73812668526
8,316,56,ssh,499923.31416419963
11,1401,89,audio,495553.24468424066
17,1108,65,video,521045.6418306565
13,1292,47,ssh,577146.6546936395
13,429,20,audio,306990.61943544913
12,749,76,video,431363.75935168547
8,490,24,ftp,379659.4727697564
15,480,10,ssh,398672.58518817625
12,1429,16,ftp,648918.9652112962
12,841,10,video,494628.60410309985
14,919,58,ftp,692912.1636686457
11,772,82,ftp,617173.6948925328
13,612,38,web,267631.04851636966
11,1048,35,video,447309.5194686917
10,1311,96,ftp,652233.5711245325
14,1029,54,audio,542027.9444426793
15,1012,80,video,509128.7973909053
11,743,21,web,247724.62547312846
9,526,41,ssh,395641.14315234823
17,601,29,ftp,557552.8000909708
10,829,60,audio,430297.0138448044
8,1383,90,web,451589.1666754172
15,170,45,video,365670.73367800156
10,577,76,ftp,389741.3898726584
17,1301,10,web,455391.4617516349
14,556,36,web,342234.2710684315
17,288,49,audio,275456.8362422732
12,390,93,ssh,392683.0731751856
17,1019,23,ssh,456977.5923618262
12,391,78,ssh,506694.7797405347
14,855,96,video,452992.30114892166
16,1406,88,web,517252.1638931056
12,476,15,video,392895.85207416874
8,1279,42,web,492403.3974570726
17,607,64,audio,380705.1113007182
17,627,28,audio,347428.5103110791
8,1478,86,video,587253.3824285277
9,658,38,video,459804.01382711437
13,1310,70,audio,503491.3734299608
16,1154,79,ftp,602556.5459207962
15,359,88,ssh,363762.10958423186
12,520,89,ssh,397435.13076973875
8,403,33,audio,330319.57487033325
14,1041,32,ssh,528168.7761846595
12,1162,19,ftp,571523.9545039645
13,641,63,ftp,488901.6388408029
14,1401,50,web,479452.2930100091
10,1326,58,video,532227.2453117208
17,1189,26,ssh,572143.3928140374
10,207,65,ftp,491366.19639053696
12,367,54,video,437300.8140930817
13,321,39,video,268198.91635455017
16,1213,53,web,465479.6365571479
12,792,83,video,421056.8950689304
8,354,64,video,330387.4443069453
11,352,28,audio,304863.9192563347
12,356,38,web,239564.00415345404
17,482,11,web,298422.9940313817
17,541,45,ssh,499348.5103015959
12,698,28,video,428328.840027016
14,1213,16,ssh,538258.1847916188
11,489,35,ftp,438840.0196514838
8,681,88,video,348214.73516909825
12,1167,47,ftp,574203.985123964
14,697,12,audio,463503.4180949264
17,118,89,video,313499.82129523775
17,1224,75,ssh,557631.059377809
13,706,80,ssh,512196.3930922387
12,1480,52,video,576481.762035407
11,132,71,ssh,357120.33815753873
9,1352,80,video,625852.2983206045
11,961,33,web,391156.33377791825
17,254,48,ssh,383300.3534148262
17,1004,77,video,503076.204120411
10,1369,53,video,525170.6743047157
17,504,14,ssh,486536.98107901285
8,943,64,web,345192.61852734315
15,1284,39,ssh,511642.3248772925
12,846,38,video,445784.0160632828
11,1240,35,web,343648.69994360354
15,370,92,ftp,604211.530087745
14,869,35,audio,363016.6043076385
9,271,46,ssh,364106.7617321135
8,373,62,video,358510.1367350569
11,358,39,web,231667.09196603848
15,1258,12,web,418098.47992669034
9,521,52,ftp,496291.36430804385
10,1309,16,ssh,646110.7979398139
8,463,58,web,299975.45409086486
8,477,82,ftp,550325.6939286771
10,679,50,video,358469.0445953249
12,990,86,ftp,616868.1316627681
10,821,88,ssh,515962.302602914
8,1319,63,ftp,652854.5645838367
8,980,78,web,443811.5985317786
15,1221,36,web,426160.5425103973
17,704,17,audio,364024.83167229564
9,121,41,ftp,416399.03987093316
10,1295,93,video,466589.86362170766
9,482,73,ssh,416057.3975438911
10,233,19,audio,249390.11553572735
14,1148,22,ftp,564582.0691846537
8,602,72,video,449252.95056782884
17,1308,44,audio,465487.9841328358
15,1208,70,web,444806.3475818102
17,243,63,ssh,429757.8612661484
17,323,17,ftp,525772.5780738059
17,319,38,video,367272.1782559573
9,278,50,web,272407.6797064105
10,532,39,audio,360929.7698638564
16,364,95,ssh,456472.8778084571
14,1053,30,audio,391124.32958632725
11,528,85,audio,281370.95695478254
17,515,20,video,403325.27007095935
12,826,11,web,303565.15630486934
9,296,59,ftp,479663.0545840646
15,1176,50,video,572492.8259049288
11,579,75,ssh,449069.45027814753
16,1453,12,audio,468714.3538029365
12,1374,89,ssh,654836.7774803636
16,989,60,video,456902.5276932425
11,1024,77,video,460376.80385345675
17,222,96,ftp,428429.2130892423
12,1462,93,audio,541974.9489030023
16,877,34,video,530909.6167035281
15,447,39,ssh,433647.9564888236
10,128,91,ftp,398939.0653786152
8,1074,20,ssh,438519.2534977378
10,134,26,audio,267406.22923649213
11,722,35,ftp,477879.76970356866
9,1417,32,ftp,650275.8809579049
8,688,65,ftp,492389.069204168
14,1472,61,web,536808.8609799719
15,1270,57,ftp,649638.1803985724
14,1190,29,ssh,569553.6822738474
12,1003,11,ssh,540387.357372773
8,619,97,audio,467647.00911315926
14,221,40,video,378622.3465179277
14,439,36,video,371369.69468256953
16,274,11,web,240459.8995307644
10,696,87,ftp,506457.0269837783
16,550,13,web,249000.21482401525
8,656,22,audio,304562.46064668393
8,1259,44,audio,425192.55181440286
11,1139,81,video,555968.4191897942
16,1456,75,audio,505140.2571065507
13,1318,15,ftp,702760.5280690022
10,108,40,ssh,379202.3191809415
8,433,19,audio,287125.08646838344
11,1456,30,web,461215.9305732534
16,1116,83,ftp,616835.9345192723
10,426,32,audio,314704.2205673882
16,114,12,audio,313204.6231604295
14,938,41,ftp,542942.1768872093
11,325,29,audio,207830.3955540635
10,212,83,ssh,419060.9127428372
17,100,38,video,340218.29871219
12,365,61,ftp,407490.059927941
12,1331,55,web,417030.4314542941
10,1051,43,audio,388744.786297493
16,1492,93,video,588673.3865482876
11,405,70,web,254815.86229794062
12,111,81,web,209372.63478596264
11,1468,80,ssh,606060.317246577
12,1491,79,video,559791.8090250036
14,1036,20,ftp,575760.7828040309
16,519,91,video,437684.57674297807
14,988,98,video,500785.1731817578
12,270,72,web,307933.3511670651
17,233,30,ssh,422004.3857210393
17,1064,12,ssh,474257.7071570652
14,1148,91,video,571286.3882706927
17,1313,97,video,626377.1991292791
12,1264,19,audio,450563.2515937904
10,757,36,web,244640.1206348422
14,1438,21,ftp,668503.3379705568
9,1442,16,ftp,641014.5674258878
16,1215,26,ssh,529917.6881733403
17,278,74,web,205039.03918700322
17,1179,73,ssh,602922.322677328
8,1278,35,ftp,601446.1403974589
13,210,24,video,298136.7317338803
14,236,42,web,234029.46326267192
15,331,71,web,221561.18130898406
17,1091,56,audio,459458.9693566943
16,567,44,video,442066.25153071736
9,831,74,video,430701.49598243553
17,580,81,ssh,407901.37641037244
9,1191,85,web,402065.3861138214
12,913,92,ssh,485092.076824657
12,1372,34,video,564756.8148230865
13,1093,66,audio,482541.87016902125
10,422,41,web,171961.26874569844
15,1021,72,video,553150.6485291094
8,1003,21,audio,345490.6849360721
13,705,72,ftp,619959.1145241176
11,528,86,video,401161.18677496916
8,1392,10,ftp,561080.3250730418
14,247,60,ssh,342300.69646536594
16,1241,79,ftp,685104.7645893672
11,949,17,video,433735.00550508115
11,466,77,ftp,481867.30451909296
13,949,14,web,442439.011634852
10,1189,98,video,501837.79678854626
13,912,95,audio,447898.1428847853
14,1493,48,ftp,763592.2243686527
17,274,32,web,269325.67377332
17,687,77,ssh,430569.8632320997
10,594,61,ssh,474569.45058660686
14,1072,13,ftp,532749.8571108278
10,1237,56,ssh,645740.3764366482
9,1234,30,audio,415656.6197501011
17,1270,65,video,719975.4753872833
11,134,75,web,292668.7994163839
15,1098,68,ftp,588769.3715186011
16,1432,16,ssh,625400.6902500805
14,637,58,video,464082.2140816732
8,849,25,audio,411483.0237113354
10,1137,26,ssh,562516.8129988099
16,473,93,ssh,533707.9518483055
8,656,96,web,313051.55266828154
16,332,84,audio,320064.11657119833
15,804,43,audio,389956.8006037695
8,662,42,ftp,536318.6615986064
13,1038,35,web,408359.0520151323
12,986,75,ftp,609264.1832845128
13,825,72,web,405761.7124628591
17,1398,96,audio,460047.37960730726
12,175,50,web,235503.44119375752
13,538,95,web,331028.44444368576
12,798,67,web,436540.4040650353
12,1412,88,video,509970.6008868167
11,1014,19,video,545159.3316188379
10,990,24,audio,413770.45644623326
10,791,51,web,358149.4765330022
11,352,66,audio,392195.9393804688
16,1249,96,video,605838.0634002787
9,1300,26,web,438018.41447312804
16,1160,69,ftp,658614.559290116
8,509,18,video,326626.0932502812
8,226,45,video,306275.54377448035
12,1291,82,video,523424.3616938626
13,691,89,web,345471.6550287259
13,393,45,ssh,299303.46514724515
10,1466,57,ftp,693151.9783783774
14,1119,60,ftp,617713.1373108188
16,409,79,audio,334489.81316666177
17,761,83,web,389687.9041970072
15,627,89,video,373221.803851728
13,639,77,ssh,577763.4998310641
15,518,31,web,288961.62692562
12,543,86,web,304307.7783513905
15,784,89,ssh,478030.1894933539
17,939,15,video,481497.31912246306
11,335,35,web,308847.99451366405
17,313,84,ftp,541395.8104716017
15,184,97,ftp,503021.8875570278
17,893,12,ssh,546919.9475833636
9,184,61,video,294372.8736218695
12,164,83,ssh,311791.8416481649
16,762,69,web,356848.0614066683
11,726,72,ftp,524406.4267733161
13,163,74,audio,337039.72198356205
8,1466,61,ssh,629169.522122991
16,1038,99,audio,567715.5763951774
8,1018,85,audio,495974.4270019087
12,1475,23,ftp,643675.2195247952
11,1281,98,ssh,520443.54016900656
10,590,81,audio,427778.76169707405
13,1348,77,web,541069.2611615373
9,412,37,video,277589.4204548887
10,714,80,video,508262.00099137507
12,1018,19,ftp,592205.8585296259
16,912,66,ssh,553434.2749062827
9,1039,75,ssh,621039.1627123663
17,1211,99,video,643934.2586615307
15,1426,59,web,522266.5475997602
9,779,23,video,435960.85329059913
12,534,25,video,410119.71452651796
14,781,63,ssh,487697.1283058737
15,1258,52,audio,499844.92751338397
8,1173,51,web,354984.1422702729
13,439,90,ssh,431148.01121305407
8,446,31,video,326368.30606655334
9,745,77,audio,350734.7315189168
8,1470,28,web,454837.32513242314
12,748,75,ftp,530900.9574649711
17,344,48,web,302911.7360175987
16,208,82,web,181483.96933531173
13,632,28,video,399732.260294635
8,1213,25,video,501677.5820088748
8,395,63,ftp,434968.538008156
9,211,34,ftp,395580.3650095384
16,1300,27,ftp,574237.6994635072
10,442,32,ssh,422223.8552334746
8,200,94,ssh,409380.29912835354
12,728,20,video,440276.86471018835
14,127,48,video,371336.35297210916
13,1036,77,ftp,620776.4802891251
8,157,34,ssh,362334.0590325469
12,396,72,audio,333004.5369228426
12,233,39,ssh,410477.5359796247
13,1454,54,video,503938.5181933939
10,348,99,ssh,374420.95160109946
12,1120,70,video,598344.9828516545
14,649,60,ftp,406778.20889518975
12,1001,18,ftp,562191.1035087327
12,1198,85,ftp,700713.7479804034
12,933,11,audio,397436.96672291175
17,1291,14,audio,479949.4464274651
17,870,71,video,500971.083840765
10,1478,78,web,466943.9909998777
8,1348,61,audio,491642.474637847
12,245,95,video,322330.9481739935
16,1364,14,ssh,665233.7209977861
8,992,68,ftp,643563.2460532831
10,443,77,ftp,470430.48389441887
11,1158,18,ftp,526275.5289654378
8,801,31,video,389507.84148433025
8,100,36,ftp,368800.5669948518
15,252,19,audio,310176.9438451604
9,528,89,ssh,394699.3388414661
15,607,70,ftp,492941.88406789245
14,1249,60,video,575333.8068929404
17,590,19,ssh,509445.4416019779
17,444,15,ftp,450220.2977414658
9,320,71,web,177839.1473024502
13,822,14,ftp,700605.9100643942
13,1148,79,audio,523265.2118544357
10,627,72,ssh,448049.81191164843
9,1305,65,audio,531951.563776542
8,940,68,web,355777.1685142789
13,1165,72,web,477357.8444550093
12,580,98,audio,382969.6598888111
16,1029,68,ssh,574363.5949083787
8,971,60,web,358520.90658846055
14,444,59,web,215930.93332684552
12,144,13,ftp,492204.744969657
12,120,57,video,265423.3039866128
9,1193,41,web,336098.82118447026
10,972,60,ssh,513757.00586218166
14,147,61,ssh,331826.40932447463
13,650,83,ftp,533914.3604719865
9,386,43,ssh,428088.19242808846
13,1101,45,ftp,657465.1450264611
9,1133,79,web,451836.5360810841
9,641,52,web,283918.397260716
9,855,25,web,330979.5913830793
10,373,68,web,278993.9525448745
9,1055,62,video,399110.62880289636
11,699,28,video,437329.235005993
16,480,98,web,252135.03562080843
13,1452,50,ssh,732417.3299453245
8,578,90,ftp,480374.2457679152
15,114,56,audio,266556.24114027043
14,615,63,ftp,486014.64503810724
17,290,64,audio,293501.4984072155
10,1291,28,audio,585904.678457162
8,720,71,web,366518.48443116486
12,1260,68,audio,418539.8777426081
11,253,74,web,317810.6450342615
17,1332,77,video,649562.1137570716
15,371,37,ssh,403639.3768855856
8,242,27,audio,267234.8471014919
17,1192,35,ssh,590152.7960289463
8,346,28,web,321828.9952223466
11,1384,64,audio,473985.49055039545
15,887,66,ftp,592700.5304887863
12,178,15,video,281692.7334503598
9,722,10,video,322747.9797691073
13,624,17,audio,457881.91275274934
12,871,60,video,405121.67104487936
9,1037,94,ftp,610406.4593743888
10,1453,97,ssh,552064.9696809832
16,1312,34,ftp,639446.4730378453
14,1218,56,video,562698.4410716728
14,716,64,ssh,453963.3010248819
13,1131,73,ftp,657040.0925367827
15,166,92,web,240747.94540559588
11,290,19,web,280504.1256199307
15,1489,65,ssh,723388.0456670112
11,867,21,ssh,459562.7619634994
15,620,42,ssh,473836.64296964783
16,1089,80,web,446972.7113236116
10,1240,26,ftp,641967.4647717349
10,366,70,ssh,408919.0998122133
9,584,19,web,280810.54796714213
17,1421,40,ssh,627029.676260244
10,1287,69,ssh,597661.9933486009
10,475,79,ssh,499397.0096767566
12,752,26,web,355704.16206059273
12,1391,59,ftp,702762.7819721685
9,648,46,web,333753.51620677894
17,1197,91,web,462209.56110594823
13,172,71,ssh,400841.3521789765
12,407,99,audio,286641.3160832128
13,298,89,audio,382540.3828158479
8,1253,81,audio,341951.978382839
12,671,97,web,338342.5803832287
16,890,86,ssh,608044.7988575137
17,1274,38,audio,440606.6033185329
9,1329,41,video,551288.9958808426
8,278,97,video,310061.6776710487
17,296,89,video,370259.8367405566
16,834,20,ftp,604097.0480319719
17,188,15,ssh,390002.8462942575
16,898,44,web,279882.20660578186
16,887,42,web,329578.72301342007
13,847,27,ssh,546666.786744438
15,1306,46,ftp,681647.1359096499
8,308,22,ssh,450006.77862621425
17,592,83,ftp,629032.3797006649
11,1253,99,audio,487987.7434926604
8,764,90,audio,512961.8902534744
15,1136,73,ftp,639923.9834925955
8,970,10,ssh,440866.5732795487
10,831,72,audio,370518.00670447113
11,1229,98,ssh,486963.74473552906
15,1498,43,audio,626450.9504124641
13,797,19,ssh,563638.0994521931
17,1222,93,ssh,575124.628059334
14,693,16,video,405205.7855809047
15,985,65,ftp,609280.3772056289
9,951,89,web,331682.3473928943
17,1315,46,ftp,583244.8984364419
15,424,38,ssh,418282.11981115444
10,1078,21,ssh,510046.02852703765
14,1055,26,ftp,574579.4379505613
10,993,57,ssh,538235.8031300482
14,1490,93,audio,635975.9829262996
9,1441,35,ssh,585545.3640154137
17,243,92,ftp,488122.14993606816
13,483,21,ftp,508443.5261872468
10,315,30,ftp,455707.1463256374
10,1484,51,video,541578.8237776079
16,423,70,video,404418.8561557018
14,1138,67,video,558476.9910084527
12,316,63,video,298282.4331244611
17,1050,43,video,579676.9505398254
14,282,16,video,405979.44526070554
16,369,44,video,339660.98722777533
8,1044,24,ftp,570483.5009174084
14,969,74,web,432913.9128335516
13,566,99,video,400419.29218356236
